shooter,number_of_shots,non_penalty_goals_scored,GAX,rGAX,tstat,sd.V1,ci_lower,ci_upper,shooter_name,shooter_position_type
1,10,1,-0.002758815884590149,0.012245865722474053,0.09579509336491372,0.12120877882770657,-0.22532334077983082,0.24981507222477892,Harry Kane,CF
9,1,0,-0.04385395348072052,-0.012119957045225498,-0.12633165741560154,0.09691025501079036,-0.2020640568663746,0.1778241427759236,Aymeric Laporte,D
10,3,0,-0.3140208572149277,-0.06866023255857898,-0.40600419165335583,0.16928266074998707,-0.40045424762855364,0.26313378251139563,John Stones,D
11,2,0,-0.3008122183382511,-0.03478257450302343,-0.26856394968543384,0.13006396278916924,-0.2897079415697951,0.22014279256374827,Nicolás Otamendi,D
18,1,0,-0.04901969060301781,0.008377929969765687,0.08711163013352902,0.09481689005452901,-0.17746317453711116,0.19421903447664254,Rodri,M
20,6,0,-0.6189364157617092,-0.13187487501322737,-0.7387351364039213,0.1788159346373784,-0.48235410690248903,0.2186043568760343,Ilkay Gündogan,M
21,6,1,0.07038473710417747,0.13905216824011093,0.6516771615420986,0.2114131681580966,-0.27531764134975845,0.5534219778299803,Phil Foden,M
22,6,0,-0.49556658044457436,-0.09330437781935,-0.5129961418072034,0.18147805168016792,-0.44900135911247907,0.26239260347377913,Kevin De Bruyne,M
25,1,1,0.646714836359024,0.2578728127456539,2.4726172570815006,0.10428843092526786,0.05346748813212887,0.4622781373591789,Raheem Sterling,F
26,3,0,-0.2181754782795906,0.008950602021290015,0.055992032829300827,0.15577557324712857,-0.296369521543082,0.314270725585662,Leroy Sané,F
27,2,0,-0.14857445657253265,0.003861447142857139,0.02449501063329167,0.14364011810419944,-0.2776731843413738,0.28539607862708805,Bernardo Silva,M
30,2,0,-0.21949408575892448,-0.043048829648526146,-0.289503709791813,0.1488385474826965,-0.3347723827146113,0.24867472341755903,Gabriel Jesus,F
37,4,0,-0.5736590698361397,-0.07500751026832965,-0.3761844416708901,0.2014997292669741,-0.46994697963159887,0.3199319590949396,Virgil van Dijk,D
40,4,0,-0.48052244260907173,-0.046306534284454706,-0.23868949598153066,0.19820456515894885,-0.43478748199599443,0.34217441342708504,Dejan Lovren,D
47,2,1,0.6777148395776749,0.21015861196786473,1.4343757088826414,0.14670187790682496,-0.07737706872951217,0.4976942926652416,Jordan Henderson,M
55,1,0,-0.05406399816274643,0.004749406749811037,0.03758602606678238,0.11817127221500408,-0.22686628679159695,0.23636510029121902,Takumi Minamino,F
57,3,1,0.7893584556877613,0.24234827081254723,1.4564939908457883,0.16593777010354566,-0.08288975859040226,0.5675863002154967,Xherdan Shaqiri,M
67,3,0,-0.3812674283981323,-0.13176061758188462,-0.7552601571969199,0.1752453090988491,-0.47524142341562886,0.21172018825185962,Jan Vertonghen,D
71,3,0,-0.5750062763690948,-0.04145747073696148,-0.23616266164839134,0.1800657629310849,-0.3943863660818879,0.3114714246079649,Ben Davies,D
83,10,0,-1.1098678037524223,-0.0965348624376417,-0.4220741707948413,0.2321331799734584,-0.5515158951856202,0.35844617031033676,Heung-min Son,F
84,2,0,-0.10414129495620728,-0.009189079315948622,-0.06676746713708795,0.1454241615023721,-0.294220435860598,0.2758422772287007,Steven Bergwijn,F
90,6,1,0.5672244355082512,0.308005296356135,1.327585287750789,0.2309961079112634,-0.14474707514994128,0.7607576678622112,Antonio Rüdiger,D
92,3,1,0.6223863121122122,0.2444478167579994,1.404472709266899,0.17374939488840274,-0.09610099722326995,0.5849966307392688,Andreas Christensen,D
100,3,0,-0.4633794277906418,-0.07379180588750316,-0.45369660199669365,0.16236761636882596,-0.39203233397040205,0.2444487221953957,Mateo Kovacic,M
105,4,0,-0.3224058225750923,-0.03553471080309899,-0.19436331646985663,0.18663960957379405,-0.40134834556773535,0.33027892396153735,Mason Mount,M
107,7,1,0.15946374088525772,0.11855725373645748,0.5266418579350894,0.22139236883040164,-0.31537178917112973,0.5524862966440447,Christian Pulisic,F
112,7,1,0.035009488463401794,0.054995455021416076,0.23934206935130717,0.22757516204414885,-0.39105186258511565,0.5010427726279478,Michy Batshuayi,F
113,18,4,0.7279228679835796,0.3188552673122957,1.2097421921970857,0.26014298390762053,-0.19102498114664052,0.828735515771232,Olivier Giroud,F
118,5,0,-0.625274308025837,-0.06631112892983126,-0.32240730732983175,0.21051474557563868,-0.47892003025808305,0.3462977723984205,Harry Maguire,D
123,3,0,-0.1995161548256874,-0.05242338206853108,-0.3202486446636234,0.1649150757611476,-0.3756569305603804,0.27081016642331823,Luke Shaw,D
127,1,0,-0.04336412623524666,-0.007172471194255479,-0.07868984612200548,0.09238831428137809,-0.18825356718575653,0.17390862479724556,Diogo Dalot,D
132,3,0,-0.2793676517903805,-0.09334509695641224,-0.5454009978433858,0.17126188864051123,-0.42901839869181424,0.24232820477898975,Fred,M
133,7,0,-0.4261084832251072,-0.029575893960065516,-0.14061271238366604,0.21599489191061802,-0.4529258821048768,0.3937740941847458,Bruno Fernandes,M
136,11,3,1.895327240228653,0.5309919313517258,2.136526851923467,0.2475482740728856,0.04579731416887006,1.0161865485345816,Marcus Rashford,F
157,7,0,-0.4068288095295429,-0.044222091923658426,-0.2088186558594984,0.2123612625635179,-0.4604501665481535,0.3720059827008366,Granit Xhaka,M
162,5,0,-0.5526335053145885,-0.06938252396573442,-0.3515195895471662,0.19855815680219221,-0.45855651129803116,0.31979146336656233,Gabriel Martinelli,F
163,7,3,1.8949873372912407,0.43511843277525825,1.9357093795520726,0.224234402629368,-0.004380996378303026,0.8746178619288195,Bukayo Saka,M
195,7,3,1.7723522894084454,0.49129932147518357,2.2572299077399434,0.21695071382265257,0.06607592238278454,0.9165227205675825,Richarlison,F
214,3,0,-0.17713655531406403,0.0015789667126480194,0.011128086624745431,0.1621538101063816,-0.31624250109585994,0.31940043452115596,Nampalys Mendy,M
233,1,1,0.7620949000120163,0.2583291530971279,2.7383839204183396,0.09403485333393985,0.0740208405626058,0.44263746563164996,Romain Saïss,D
240,2,0,-0.1804906390607357,-0.04095480777588819,-0.26253494047685333,0.157689073305257,-0.35002539145419187,0.26811577590241553,Rúben Neves,M
241,1,0,-0.06355112791061401,0.025028968658352233,0.23399885722597133,0.10700947194504758,-0.18470959635394102,0.23476753367064546,Leander Dendoncker,M
308,2,0,-0.09044710919260979,-0.10023976733245149,-0.6531647356592144,0.1542315351561341,-0.40253357623847436,0.20205404157357137,Harry Wilson,F
320,1,0,-0.04864823818206787,-0.004491858548752833,-0.04146083809894969,0.10421166457719634,-0.20874672112005765,0.19976300402255198,Fabian Schär,D
371,1,1,0.40826672315597534,0.2621375682489291,2.557423713927405,0.10245873828118039,0.06131844121781552,0.4629566952800427,Jack Grealish,M
395,2,0,-0.07937584817409515,0.008739512327412458,0.06025649047129989,0.14591869012771788,-0.2772611203229146,0.2947401449777395,Pierre-Emile Höjbjerg,M
401,6,0,-0.3083704896271229,-0.06566068881267326,-0.30933043534723065,0.21671193747189943,-0.49041608625759614,0.35909470863224957,Sofiane Boufal,F
428,9,0,-0.8886690363287926,-0.10908108761148899,-0.49908311612729367,0.22477121853611856,-0.5496326759422814,0.3314705007193034,Ismaïla Sarr,F
444,1,0,-0.060419246554374695,-0.04016731726568405,-0.41388723658589155,0.09777854393546322,-0.23181326337919195,0.15147862884782387,Tariq Lamptey,D
449,1,0,-0.08312153071165085,0.004829553666540686,0.0379049526841518,0.11425382371403703,-0.21910794081297189,0.22876704814605328,Aaron Mooy,M
453,8,1,0.25894944928586483,0.17051625437893675,0.7037679712566965,0.23758330986142417,-0.2951470329494546,0.6361795417073282,Alexis MacAllister,F
457,3,0,-0.26365571841597557,-0.06264826358717561,-0.3564711111393805,0.17765495993321015,-0.4108519850562675,0.2855554578819163,Alireza Jahanbakhsh,F
589,3,0,-0.20026646181941032,0.028112552497480472,0.16081127634642717,0.1677738558956122,-0.3007242050579194,0.35694931005288033,Neco Williams,D
649,1,0,-0.04696010798215866,-0.005344927371504158,-0.05743782531632161,0.095275664645314,-0.1920852300763196,0.1813953753333113,Francisco Calvo,D
668,1,0,-0.03523865342140198,-0.002168448524187432,-0.024667715170924937,0.1073619913282323,-0.21259795152752275,0.2082610544791479,Przemyslaw Frankowski,F
754,1,0,-0.10711552947759628,-0.017647317906273614,-0.1763602819732381,0.09781915216669054,-0.20937285615298706,0.17407822034043985,Kendall Waston,D
916,1,0,-0.0993284359574318,-0.019669670538548737,-0.21321700834828833,0.08940145414096867,-0.19489652065484733,0.15555717957774987,Walker Zimmerman,D
926,3,0,-0.29638537019491196,-0.06372096136810278,-0.3857751759520091,0.16774077444726562,-0.3924928792847434,0.26505095654853783,Alistair Johnston,D
963,5,0,-0.7236162275075912,-0.19843023993764186,-0.9531533948382386,0.20923314762830614,-0.6085272092891219,0.21166672941383818,Tajon Buchanan,F
1067,1,0,-0.11068010330200195,-0.013469583736457538,-0.12954785803862418,0.10613729115935555,-0.22149867440879442,0.19455950693587934,Brenden Aaronson,M
1225,2,0,-0.07543214969336987,0.03277387147518266,0.2319302048984322,0.13843133190091428,-0.2385515390506093,0.30409928200097464,Richie Laryea,D
1228,1,0,-0.0305758286267519,-0.05248901837490554,-0.4504505365912468,0.11568340035107234,-0.27922848306300735,0.17425044631319625,Jonathan Osorio,M
1257,6,0,-0.2989044561982155,0.02835783667611489,0.12569543396448413,0.2118406838310264,-0.3868499036326968,0.4435655769849266,In-beom Hwang,M
1287,1,0,-0.050306763499975204,0.0016533688025951107,0.017986520082511247,0.08634274709313161,-0.16757841549994285,0.17088515310513308,José Cifuentes,M
1289,1,0,-0.04303399473428726,0.010173627893046107,0.09994109794814877,0.10315796654066735,-0.1920159865266619,0.2123632423127541,Mark-Anthony Kaye,M
1334,5,0,-0.49546151980757713,-0.10691718988662137,-0.5459914981200906,0.19723365396587728,-0.4934951516597408,0.27966077188649807,Weston McKennie,M
1336,6,2,1.271060235798359,0.3736781039279416,1.7707730707663616,0.2100635268518798,-0.038046408701742807,0.785402616557626,Timothy Weah,F
1339,1,0,-0.04080689325928688,-0.019319266080246908,-0.19418893667409776,0.10009299299204799,-0.21550153234466096,0.17686300018416717,Tyler Adams,M
1363,3,0,-0.23963059857487679,-0.07502781628936758,-0.47035010141654626,0.16010722452319234,-0.38883797635482453,0.2387823437760894,Inaki Williams,F
1368,3,0,-0.2785306014120579,0.003846807191987914,0.017465126255496084,0.16600280833240513,-0.32151869713952613,0.329212311523502,Jose Gimenez,D
1377,1,0,-0.03224654495716095,-0.0210796758793147,-0.21112605354157407,0.0988208229508442,-0.21476848886296931,0.17260913710433992,Kieran Trippier,D
1380,2,0,-0.1327333115041256,0.015656631553917853,0.11392297698665402,0.1308321699647099,-0.2407744215769135,0.2720876846847492,Thomas Partey,M
1381,1,0,-0.1426212042570114,-0.08796313293461837,-0.8955868633469026,0.09790496883796483,-0.27985687185702945,0.1039306059877927,Marcos Llorente,M
1387,4,0,-0.5117227658629417,-0.003950552804862699,-0.0242782356822654,0.19480054827384047,-0.38575962742159,0.37785852181186463,Yannick Carrasco,F
1393,10,1,0.462109100073576,0.22281766503916195,0.895180312098963,0.24645445720072248,-0.2602330710742541,0.705868401152578,Joao Felix,F
1394,9,3,1.5019931867718697,0.5563018197115145,2.1560376502464904,0.25649957854002964,0.05356264577305636,1.0590409936499725,Alvaro Morata,F
1406,3,1,0.46630703657865524,0.23511395676429814,1.451608730402039,0.1616530450802662,-0.08172601159302362,0.5519539251216199,Pervis Estupinan,D
1513,2,0,-0.09093908593058586,0.02558747574829932,0.1845960830191564,0.13997412962405217,-0.24876181831484293,0.2999367698114416,Jordi Alba,D
1519,2,0,-0.10896791145205498,0.017874172171201824,0.12917234049070936,0.13782413677401747,-0.2522611359058724,0.2880094802482761,Sergio Busquets,M
1522,2,1,0.9055229742079973,0.2643603699596879,1.8130212388383844,0.14595453605451966,-0.02171052070717061,0.5504312606265465,Frenkie de Jong,M
1531,24,4,1.194894190877676,0.3928867260997733,1.3460144672206773,0.28595177717365405,-0.16757875716058862,0.9533522093601352,Lionel Messi,F
1532,8,0,-0.5943047888576984,-0.03657687546737214,-0.15226081745198133,0.2546206608193161,-0.5356333706732317,0.46247961973848745,Ousmane Dembele,F
1534,7,1,0.09313302487134933,0.09475293677563623,0.4219625546570952,0.22262284710106636,-0.3415878435424538,0.5310937170937262,Antoine Griezmann,F
1535,3,0,-0.48553307354450226,-0.0852687156764929,-0.46182184277296495,0.1855022338951487,-0.44885309411098434,0.2783156627579985,Luis Suarez,F
1536,2,0,-0.31300088763237,-0.05147292033692939,-0.3834219851592918,0.1340463329876613,-0.31420373299274557,0.21125789231888675,Martin Braithwaite,F
1545,2,0,-0.15338949859142303,0.00572860951310155,0.04145302682866811,0.13108814262950866,-0.25120415004073543,0.26266136906693854,Mathí­as Olivera,D
1665,1,0,-0.148151695728302,-0.0034834285216679113,-0.04658279172086336,0.08173757204993927,-0.1636890697395489,0.15672221269621306,Ante Budimir,F
1675,3,0,-0.3964560404419899,-0.013458837215293507,-0.07489388223361215,0.17667331773851275,-0.3597385399827785,0.3328208655521915,Raphael Varane,D
1676,5,0,-0.38146282359957695,-0.0012508296863189851,-0.011523420255922904,0.18750508166720262,-0.36876078975403614,0.3662591303813981,Eder Militao,D
1681,4,0,-0.21266889572143555,-0.03421736623897708,-0.1755303407479542,0.20182802624154433,-0.42980029767240396,0.3613655651944498,Achraf Hakimi,D
1683,8,1,0.5971548464149237,0.19449390221088442,0.812452645788305,0.23961029212029542,-0.2751422703448946,0.6641300747666634,Casemiro,M
1684,6,0,-0.437001496553421,-0.05115048020597125,-0.26069544753835844,0.20007775189400576,-0.44330287391822254,0.34100191350628006,Federico Valverde,M
1687,6,0,-0.29723747447133064,-0.019269380120937266,-0.10542954284620025,0.18944482362750104,-0.3905812344308393,0.3520424741889648,Luka Modric,M
1694,1,0,-0.0648597851395607,-0.03550409969387756,-0.3113197069645809,0.11428704039479,-0.259506698867666,0.18849849947991085,Eden Hazard,F
1695,10,2,0.45665351301431656,0.2909583975566894,1.084703255532523,0.26484412258701095,-0.2281360827138521,0.8100528778272309,Vinícius Junior,F
1696,10,1,0.1515046637505293,0.09882714408478184,0.40763315924228594,0.23653906073609493,-0.36478941495796424,0.5624437031275279,Marco Asensio,F
1697,6,0,-0.5141270235180855,-0.13153185469702694,-0.5981875857808782,0.22178324310195668,-0.566227011176862,0.30316330178280815,Rodrygo,F
1698,1,0,-0.06875468045473099,-0.0027983842787855876,-0.02974981620170337,0.09267592112893543,-0.18444318969149903,0.17884642113392785,Gareth Bale,F
1702,1,0,-0.07557263225317001,-0.03133355456853112,-0.3067183678960458,0.10210568536117104,-0.23146069787642637,0.16879358873936412,Luka Jovic,F
1789,4,0,-0.30519208312034607,-0.11228558675359034,-0.5789358841118208,0.19602805492861214,-0.4965005744136701,0.2719294009064894,Jules Kounde,D
1810,10,3,1.561725914478302,0.4222136036589824,1.5760056968024707,0.26587475748480854,-0.09890092101124237,0.9433281283292072,Youssef En-Nesyri,F
1829,2,1,0.7623811140656471,0.246308240293525,1.8177336024194226,0.1354930778639361,-0.019258192319789758,0.5118746729068397,Carlos Soler,M
1830,6,0,-0.4355281852185726,-0.036205394227135264,-0.15756237150990124,0.2395420218611295,-0.5057077570749491,0.43329696862067857,Kang-in Lee,M
1836,2,0,-0.1322494074702263,0.01502252513857394,0.10415305711743363,0.13871261819353842,-0.25685420652076135,0.28689925679790923,Maxi Gomez,F
1876,1,0,-0.04093928262591362,-0.012627740416351731,-0.11341840963115693,0.10964677328357794,-0.22753541605216449,0.20227993521946103,William Carvalho,M
1907,2,0,-0.12389654293656349,0.01071195261337868,0.07194448655901677,0.14127241817286018,-0.2661819870054272,0.28760589223218463,Vitinha,M
1910,2,1,0.5912653356790543,0.1701688510078106,1.1146424090766602,0.15213534534275983,-0.12801642586399864,0.46835412787961983,Mohammed Salisu,D
1926,1,0,-0.13292554020881653,0.005428736880826417,0.04851205885361361,0.11057889967188632,-0.21130590647607075,0.2221633802377236,Thiago Silva,D
1931,1,0,-0.06728819012641907,0.0013655097631645253,0.01859929936589342,0.08812392656591586,-0.17135738630603056,0.1740884058323596,Ethan Ampadu,D
1937,6,3,1.6926762014627457,0.5257384058453012,2.276675261459314,0.2305490456518452,0.07386227636768461,0.9776145353229178,Kai Havertz,M
1938,10,1,0.47995365783572197,0.25311096269841277,0.877826078683272,0.284657862496244,-0.30481844779422546,0.8110403731910509,Hakim Ziyech,F
1950,5,1,0.035829804837703705,0.21380327338309416,0.9726508424753626,0.21925303118814396,-0.21593266774566802,0.6435392145118564,Ferran Torres,F
1957,1,0,-0.04725006967782974,-5.749259429327275e-4,-0.0044428123100586775,0.10068681544127694,-0.19792108420783555,0.19677123232197008,Marko Grujic,M
1971,1,0,-0.326945424079895,-0.07792650365898214,-0.9028130748867594,0.08562989091826631,-0.2457610898587841,0.08990808254081982,Tim Ream,D
1977,1,0,-0.09356753528118134,0.013651869865205337,0.13275032285625085,0.10012069658157542,-0.18258469543468248,0.20988843516509315,André Zambo Anguissa,M
1991,11,2,0.19625985622406006,0.17835963915658873,0.7174609714825849,0.24491940803783332,-0.30168240059756457,0.6584016789107421,Aleksandar Mitrovic,F
2066,1,0,-0.05278101935982704,-0.026788884342403608,-0.24759733096163525,0.10671061358191139,-0.23594168696294993,0.1823639182781427,Ruben Dias,D
2073,5,0,-0.40288977697491646,0.005473759694507383,0.014005390343337637,0.22562404676250564,-0.4367493719600037,0.4476968913490184,Joachim Andersen,D
2074,8,0,-0.6142284404486418,-0.15566010436507943,-0.6726812406775436,0.2360010454725401,-0.618222153491258,0.30690194476109917,Raphinha,M
2075,1,0,-0.21398288011550903,-0.048373094508692434,-0.44574094253864244,0.10885596880785345,-0.2617307933720852,0.16498460435470033,Facundo Pellistri,F
2077,4,0,-0.6768976226449013,-0.22426448921831688,-1.227955765991845,0.18311550351514005,-0.5831708761079915,0.13464189767135765,Edinson Cavani,CF
2090,2,0,-0.3405819833278656,-0.14983268048437895,-1.0356474796899622,0.1449033051810471,-0.4338431586392313,0.13417779767047336,Hiroki Sakai,D
2094,2,0,-0.1939365193247795,0.009664875258251436,0.06891330883560234,0.135415737082113,-0.25574996942269,0.2750797199391929,Junya Ito,M
2095,6,0,-0.5217229910194874,-0.08456939687137817,-0.3869243002910586,0.21964989867919593,-0.5150831982826022,0.3459444045398459,Daichi Kamada,M
2099,9,1,-0.3530139811336994,0.04351829235953628,0.1752160094120645,0.23854121310231854,-0.42402248532100806,0.5110590700400807,Takuma Asano,F
2106,1,0,-0.05237828567624092,-0.0069235807199546535,-0.07197190975611685,0.10020655746291632,-0.20332843334727063,0.1894812719073613,Edson Alvarez,M
2108,3,1,0.6097801700234413,0.2501280651656588,1.3583191782742616,0.1843385619495832,-0.1111755162555243,0.6114316465868419,Uriel Antuna,RW
2111,7,1,0.44888082705438137,0.18720554964726613,0.7650754921152817,0.2435505594769069,-0.2901535469274714,0.6645646462220036,Hirving Lozano,F
2134,3,1,0.8211956545710564,0.2202888502790376,1.3441240977634599,0.16436043257491903,-0.10185759756780366,0.5424352981258789,Moises Caicedo,M
2144,1,0,-0.059956397861242294,0.013517095583270343,0.1362770188640373,0.10050052621454662,-0.18346393579724102,0.21049812696378173,Iliman Ndiaye,M
3299,1,0,-0.07791496068239212,-0.027445995865457297,-0.2596866630227888,0.10608422821955855,-0.23537108317579206,0.18047909144487748,César Montes,D
3301,2,0,-0.31001511961221695,-0.07342975009574204,-0.4809617558247537,0.15451211631080583,-0.37627349806492144,0.22941399787343736,Héctor Moreno,LCB
3303,1,0,-0.2674441635608673,-0.07644225434860563,-0.7011436268795614,0.10897333113617749,-0.2900299833755135,0.13714547467830224,Jesús Gallardo,LB
3314,1,0,-0.047455888241529465,0.006488106626984119,0.06824792064908067,0.0954070645578662,-0.18050973990643362,0.19348595316040187,Rogelio Funes Mori,CF
3315,1,0,-0.10029787570238113,-0.013252673314436903,-0.14626929824721713,0.09236413128747714,-0.19428637063789211,0.1677810240090183,Vincent Janssen,F
3316,1,0,-0.06042720377445221,0.009233886949884331,0.10374609779431526,0.08988402981901031,-0.16693881149537587,0.18540658539514454,Joel Campbell,F
3352,1,0,-0.047356016933918,-0.030905385755857898,-0.32379301829136575,0.09600925476120599,-0.21908352508782164,0.15727275357610582,Jorge Sánchez,D
3367,4,1,0.07875047624111176,0.19508287484315945,0.9247849788997828,0.21031232870135777,-0.21712928941150178,0.6072950390978207,Henry Martín,CF
3387,4,0,-0.7660031244158745,-0.2676698063076342,-1.397339465472542,0.19219016328075045,-0.6443625263379051,0.10902291372263667,Orbelín Pineda,F
3414,10,0,-0.7452585138380527,0.03087190498362304,0.10242731654888838,0.28549365897607476,-0.5286956666094835,0.5904394765767296,Alexis Vega,CF
3455,10,1,0.37807529233396053,0.17976637979843793,0.6460187614999414,0.2749111041985698,-0.3590593844307589,0.7185921440276347,Luis Chávez,M
